lr_track_name,rr_track_name,Alias,type,direction,length_miles,configuration,surface,turns,t1_t2_banking,t3_t3_banking,fornt_stretch,back_stretch,city,state,counrty
Atlanta Motor Speedway,Atlanta Motor Speedway,EchoPark Speedway,super speedway,counter-clockwise,1.54,quad-oval,asphalt,4,28,28,5,5,Hampton,Georgia,USA
Atlanta Motor Speedway (<2021),Atlanta Motor Speedway (<2021),,intermediate,counter-clockwise,1.54,quad-oval,asphalt,4,24,24,5,5,Hampton,Georgia,USA
EchoPark Speedway,EchoPark Speedway,Atlanta Motor Speedway,super speedway,counter-clockwise,1.54,quad-oval,asphalt,4,28,28,5,5,Hampton,Georgia,USA
Auto Club Speedway,Auto Club Speedway,California Speedway,intermediate,counter-clockwise,2,d-oval,asphalt,4,14,14,11,3,Fontana,California,USA
Autódromo Hermanos Rodríguez,Autodromo Hermanos Rodriguez,,road course,clockwise,2.518,street,asphalt,15,,,,,Mexico City,,Mexico
Bowman Gray Stadium,Bowman Gray Stadium,,short,counter-clockwise,0.25,oval,asphalt,4,0,0,0,0,Winton-Salem,North Carolina,USA
Bristol Motor Speedway,Bristol Motor Speedway,,short,counter-clockwise,0.533,oval,concrete,4,prog: 26-30,prog: 26-30,prog: 6-10,prog: 6-10,Bristol,Tennessee,USA
Bristol Motor Speedway Dirt,Bristol Motor Speedway Dirt Track,,short,counter-clockwise,0.533,oval,dirt,4,prog: 26-30,prog: 26-30,prog: 6-10,prog: 6-10,Bristol,Tennessee,USA
Charlotte Motor Speedway,Charlotte Motor Speedway,,intermediate,counter-clockwise,1.5,quad-oval,asphalt,4,24,24,5,5,Concord,North Carolina,USA
Charlotte Motor Speedway Road Course,Charlotte Motor Speedway Road Course,,road course,counter-clockwise,2.14,road,asphalt,17,,,,,Concord,North Carolina,USA
Chicagoland Speedway,Chicagoland Speedway,,intermediate,counter-clockwise,1.5,tri-oval,asphalt,4,18,18,11,5,Joliet,Illinois,USA
Chicago Street Race,Chicago Street Course,,street course,clockwise,2.2,street,concrete/asphalt,12,,,,,Chicago,Illinois,USA
Circuit of The Americas,Circuit of the Americas,COTA,road course,counter-clockwise,2.362,road,asphalt,20,,,,,Austin,Texas,USA
Darlington Raceway,Darlington Raceway,,intermediate,counter-clockwise,1.366,egg-oval,asphalt,4,25,23,3,2,Darlington,South Carolina,USA
Daytona International Speedway,Daytona International Speedway,,super speedway,counter-clockwise,2.5,tri-oval,asphalt,4,31,31,18,2,Daytona,Florida,USA
Dover Motor Speedway,Dover Motor Speedway,,short,counter-clockwise,1,oval,concrete,4,24,24,9,9,Dover,Delaware,USA
Homestead-Miami Speedway,Homestead-Miami Speedway,,intermediate,counter-clockwise,1.5,oval,asphalt,4,prog: 18-20,prog: 18-20,3,3,Homestead,Florida,USA
Indianapolis Motor Speedway,Indianapolis Motor Speedway,,intermediate,counter-clockwise,2.5,rectangular-oval,asphalt,4,9,9,0,0,Indianapolis,Indiana,USA
Indianapolis Motor Speedway Road Course,Indianapolis Grand Prix Circuit,,road course,clockwise,2.439,road,asphalt,14,,,,,Indianapolis,Indiana,USA
Iowa Speedway,Iowa Speedway,,short,counter-clockwise,0.875,d-oval,asphalt,4,prog: 12-14,prog: 12-14,10,4,Des Moines,Iowa,USA
Kansas Speedway,Kansas Speedway,,intermediate,counter-clockwise,1.5,tri-oval,asphalt,4,prog: 17-20,prog: 17-20,prog: 9-11,5,Kansas City,Kansas,USA
